"external_gene_name" "gene_biotype" "start_position" "end_position" "source"
"ENSRNOG00000017462" "Spata5" "protein_coding" 124149872 124341131 "ensembl"
"ENSRNOG00000005491" "Best3" "protein_coding" 60015998 60057152 "ensembl"
"ENSRNOG00000019804" "B3gat3" "protein_coding" 225120061 225126579 "ensembl"
"ENSRNOG00000042286" "Nsl1" "protein_coding" 109669680 109696918 "ensembl"
"ENSRNOG00000003073" "Gpr161" "protein_coding" 83531018 83571505 "ensembl"
"ENSRNOG00000021693" "Fam149a" "protein_coding" 50049828 50107856 "ensembl"
"ENSRNOG00000005151" "Dync2li1" "protein_coding" 7900972 7933796 "ensembl"
"ENSRNOG00000006703" "Zfp398" "protein_coding" 77519028 77545589 "ensembl"
"ENSRNOG00000018567" "Slc20a1" "protein_coding" 121725859 121739173 "ensembl"
"ENSRNOG00000004356" "Lrrc52" "protein_coding" 85672014 85695421 "ensembl"
"ENSRNOG00000025619" "Ap1g2" "protein_coding" 33759001 33766438 "ensembl"
"ENSRNOG00000039601" "LOC683469" "protein_coding" 15105839 15111585 "ensembl"
"ENSRNOG00000003633" "Rcvrn" "protein_coding" 54246250 54253996 "ensembl"
"ENSRNOG00000015444" "Olr49" "protein_coding" 168028367 168029293 "ensembl"
"ENSRNOG00000018767" "Rbm17" "protein_coding" 70586394 70603267 "ensembl"
"ENSRNOG00000027506" "Zp4" "protein_coding" 65497359 65503912 "ensembl"
"ENSRNOG00000019575" "Rell2" "protein_coding" 31094965 31098536 "ensembl"
"ENSRNOG00000030830" "Mex3d" "protein_coding" 12192088 12198551 "ensembl"
"ENSRNOG00000001959" "Mx1" "protein_coding" 37891156 37914983 "ensembl"
"ENSRNOG00000057960" "AABR07065933.1" "lincRNA" 146977951 146979978 "ensembl"
"ENSRNOG00000061652" "AABR07070801.2" "lincRNA" 84878388 84878898 "ensembl"
"ENSRNOG00000057255" "7SK" "misc_RNA" 7640754 7641070 "ensembl"
"ENSRNOG00000054208" "AC129370.2" "miRNA" 66815659 66815748 "ensembl"
"ENSRNOG00000000954" "Polr1d" "protein_coding" 9693779 9727489 "ensembl"
"ENSRNOG00000009450" "Hcn4" "protein_coding" 63600663 63639654 "ensembl"
"ENSRNOG00000052006" "AABR07012295.1" "pseudogene" 192342937 192343363 "ensembl"
"ENSRNOG00000052630" "AABR07032327.1" "lincRNA" 61176480 61180464 "ensembl"
"ENSRNOG00000008345" "Clcn6" "protein_coding" 164811816 164844586 "ensembl"
"ENSRNOG00000050876" "Olr542" "protein_coding" 75088126 75089064 "ensembl"
"ENSRNOG00000012718" "Zfp451" "protein_coding" 38396449 38451656 "ensembl"
"ENSRNOG00000047085" "Lrrtm2" "protein_coding" 28012877 28017925 "ensembl"
"ENSRNOG00000056247" "7SK" "misc_RNA" 40542094 40542431 "ensembl"
"ENSRNOG00000028248" "Lca5l" "protein_coding" 36512974 36533073 "ensembl"
"ENSRNOG00000057153" "Pla1a" "protein_coding" 64882288 64919579 "ensembl"
"ENSRNOG00000001647" "Ets2" "protein_coding" 36075709 36092495 "ensembl"
"ENSRNOG00000017330" "AC103221.1" "protein_coding" 190964507 190965115 "ensembl"
"ENSRNOG00000054542" "AABR07064897.1" "lincRNA" 99874486 99876101 "ensembl"
"ENSRNOG00000056975" "7SK" "misc_RNA" 21025921 21026228 "ensembl"
"ENSRNOG00000017265" "Tmem131" "protein_coding" 43358588 43454078 "ensembl"
"ENSRNOG00000049532" "Mir2861" "miRNA" 11747227 11747308 "ensembl"
"ENSRNOG00000009675" "Cdc42bpb" "protein_coding" 135746754 135830086 "ensembl"
"ENSRNOG00000015850" "Rbp7" "protein_coding" 166278187 166282831 "ensembl"
"ENSRNOG00000053524" "U1" "snRNA" 92936066 92936231 "ensembl"
"ENSRNOG00000028865" "Kprp" "protein_coding" 193132222 193136520 "ensembl"
"ENSRNOG00000010008" "Polr3a" "protein_coding" 716683 755990 "ensembl"
"ENSRNOG00000051788" "U6" "snRNA" 47297085 47297190 "ensembl"
"ENSRNOG00000034107" "LOC681282" "protein_coding" 118023628 118025287 "ensembl"
"ENSRNOG00000024780" "MGC95210" "protein_coding" 102199837 102210764 "ensembl"
"ENSRNOG00000053029" "AABR07060560.1" "lincRNA" 80484220 80486478 "ensembl"
"ENSRNOG00000059745" "SNORA66" "snoRNA" 8012901 8012981 "ensembl"
"ENSRNOG00000013963" "Il6st" "protein_coding" 44289393 44314944 "ensembl"
"ENSRNOG00000010807" "Cox6c" "protein_coding" 74723179 74735650 "ensembl"
"ENSRNOG00000028869" "AABR07069585.1" "protein_coding" 32431580 32431987 "ensembl"
"ENSRNOG00000016631" "Zfp276" "protein_coding" 56054212 56067581 "ensembl"
"ENSRNOG00000008519" "Dipk2a" "protein_coding" 102088505 102159828 "ensembl"
"ENSRNOG00000024331" "Upk1a" "protein_coding" 89060581 89068348 "ensembl"
"ENSRNOG00000047768" "Lamb2" "protein_coding" 117268337 117280517 "ensembl"
"ENSRNOG00000015415" "Rhoq" "protein_coding" 10533151 10568581 "ensembl"
"ENSRNOG00000029613" "AC114204.1" "protein_coding" 27407962 27408258 "ensembl"
"ENSRNOG00000037217" "Nudt17" "protein_coding" 198831546 198834925 "ensembl"
"ENSRNOG00000027232" "Pcdhga11" "protein_coding" 30904498 30906924 "ensembl"
"ENSRNOG00000038024" "AABR07061254.1" "protein_coding" 112357080 112357484 "ensembl"
"ENSRNOG00000010804" "Olr1108" "protein_coding" 140054592 140055527 "ensembl"
"ENSRNOG00000024801" "Slc35a2" "protein_coding" 15453186 15461713 "ensembl"
"ENSRNOG00000011492" "LOC108348302" "protein_coding" 21399553 21402858 "ensembl"
"ENSRNOG00000026527" "Snx32" "protein_coding" 220874717 220878059 "ensembl"
"ENSRNOG00000030736" "H2ac20" "protein_coding" 198360301 198360678 "ensembl"
"ENSRNOG00000028518" "Msgn1" "protein_coding" 36876165 36876805 "ensembl"
"ENSRNOG00000015105" "Bspry" "protein_coding" 78334284 78356460 "ensembl"
"ENSRNOG00000055886" "AABR07051399.1" "pseudogene" 9185813 9186116 "ensembl"
"ENSRNOG00000019212" "Tpp1" "protein_coding" 170588035 170594168 "ensembl"
"ENSRNOG00000031555" "LOC685747" "protein_coding" 24059516 24061857 "ensembl"
"ENSRNOG00000020939" "Ms4a8" "protein_coding" 227136154 227149748 "ensembl"
"ENSRNOG00000057190" "AC114111.2" "pseudogene" 70487956 70488133 "ensembl"
"ENSRNOG00000001430" "Polr2j" "protein_coding" 23587222 23592774 "ensembl"
"ENSRNOG00000002208" "Shroom3" "protein_coding" 16622760 16903242 "ensembl"
"ENSRNOG00000000693" "Svop" "protein_coding" 48292273 48351084 "ensembl"
"ENSRNOG00000060066" "LOC100911511" "protein_coding" 74712 78732 "ensembl"
"ENSRNOG00000054513" "Zmiz2" "protein_coding" 86652365 86661441 "ensembl"
"ENSRNOG00000048836" "AABR07003935.7" "miRNA" 121263929 121264013 "ensembl"
"ENSRNOG00000020182" "Mvp" "protein_coding" 198420806 198450047 "ensembl"
"ENSRNOG00000058078" "SNORA70" "snoRNA" 105109968 105110102 "ensembl"
"ENSRNOG00000049674" "LOC685488" "protein_coding" 28263095 28266488 "ensembl"
"ENSRNOG00000056505" "AABR07060680.1" "snoRNA" 89366313 89366443 "ensembl"
"ENSRNOG00000035571" "Mir133b" "miRNA" 26795649 26795732 "ensembl"
"ENSRNOG00000011762" "Elf1" "protein_coding" 61826711 61868343 "ensembl"
"ENSRNOG00000056877" "7SK" "misc_RNA" 9365276 9365581 "ensembl"
"ENSRNOG00000028130" "Tas2r144" "protein_coding" 71588974 71589933 "ensembl"
"ENSRNOG00000045816" "Gria1" "protein_coding" 42614713 42760200 "ensembl"
"ENSRNOG00000050468" "AABR07005027.1" "protein_coding" 175586209 175586802 "ensembl"
"ENSRNOG00000021657" "Pld6" "protein_coding" 46142801 46145548 "ensembl"
"ENSRNOG00000039543" "Rnase11" "protein_coding" 27973491 27975471 "ensembl"
"ENSRNOG00000057043" "Olr1549" "protein_coding" 43486904 43487827 "ensembl"
"ENSRNOG00000024707" "Tp73" "protein_coding" 171355876 171415354 "ensembl"
"ENSRNOG00000051899" "AABR07000159.1" "miRNA" 1726382 1726514 "ensembl"
"ENSRNOG00000011634" "Xkr6" "protein_coding" 46784963 47173335 "ensembl"
"ENSRNOG00000011222" "Dynll1" "protein_coding" 47074200 47076572 "ensembl"
"ENSRNOG00000028919" "Zfp868" "protein_coding" 21518873 21524286 "ensembl"
"ENSRNOG00000050105" "LOC103689942" "protein_coding" 81643816 81650094 "ensembl"
"ENSRNOG00000060030" "SNORD115" "snoRNA" 116732054 116732139 "ensembl"
"ENSRNOG00000052765" "AABR07058517.1" "miRNA" 121862122 121862193 "ensembl"
"ENSRNOG00000027343" "Ttc39d" "protein_coding" 2886764 2895118 "ensembl"
"ENSRNOG00000057389" "Dusp28" "protein_coding" 100076958 100078788 "ensembl"
"ENSRNOG00000032009" "LOC499643" "protein_coding" 178117466 178231479 "ensembl"
"ENSRNOG00000052383" "Rhox9" "protein_coding" 9356 10892 "ensembl"
"ENSRNOG00000026941" "Tril" "protein_coding" 83967696 83972540 "ensembl"
"ENSRNOG00000010846" "Ccdc22" "protein_coding" 15742978 15754925 "ensembl"
"ENSRNOG00000046516" "Olfr873" "protein_coding" 20993743 20994660 "ensembl"
"ENSRNOG00000026503" "Xrra1" "protein_coding" 164849974 164914499 "ensembl"
"ENSRNOG00000057338" "Olr867" "protein_coding" 137873745 137874692 "ensembl"
"ENSRNOG00000006139" "Stx18" "protein_coding" 77402953 77492910 "ensembl"
"ENSRNOG00000039305" "LOC102547118" "protein_coding" 17250687 17252877 "ensembl"
"ENSRNOG00000045945" "AABR07066440.1" "protein_coding" 8898896 8899144 "ensembl"
"ENSRNOG00000024499" "AABR07027342.1" "protein_coding" 25228437 25439938 "ensembl"
"ENSRNOG00000059128" "AABR07057237.2" "lincRNA" 62335197 62340885 "ensembl"
"ENSRNOG00000050553" "Atp6v1c2" "protein_coding" 42585934 42630983 "ensembl"
"ENSRNOG00000051963" "AABR07009638.2" "lincRNA" 106739312 106741832 "ensembl"
"ENSRNOG00000054990" "AABR07060133.1" "lincRNA" 58408730 58485447 "ensembl"
"ENSRNOG00000004505" "Nfic" "protein_coding" 11152038 11177664 "ensembl"
"ENSRNOG00000054844" "AABR07063746.1" "lincRNA" 45649044 45650094 "ensembl"
"ENSRNOG00000057429" "5S_rRNA" "rRNA" 174960988 174961107 "ensembl"
"ENSRNOG00000056144" "Olr29" "protein_coding" 150209396 150210403 "ensembl"
"ENSRNOG00000019019" "Fitm1" "protein_coding" 34251606 34253073 "ensembl"
"ENSRNOG00000055026" "U6" "snRNA" 5782505 5782611 "ensembl"
"ENSRNOG00000052417" "Gm23822" "snoRNA" 12884093 12884209 "ensembl"
"ENSRNOG00000013579" "LOC100359916" "protein_coding" 59911431 59913348 "ensembl"
"ENSRNOG00000006353" "Large2" "protein_coding" 81276028 81282157 "ensembl"
"ENSRNOG00000050514" "LOC684509" "protein_coding" 210115784 210116038 "ensembl"
"ENSRNOG00000013855" "Zmym1" "protein_coding" 145105997 145123861 "ensembl"
"ENSRNOG00000046227" "Tprg1l" "protein_coding" 171456302 171459488 "ensembl"
"ENSRNOG00000018047" "Gorasp1" "protein_coding" 128610291 128622337 "ensembl"
"ENSRNOG00000054067" "AABR07005837.1" "lincRNA" 202704299 202707503 "ensembl"
"ENSRNOG00000060872" "AABR07017513.1" "lincRNA" 24879473 24888715 "ensembl"
"ENSRNOG00000054828" "AABR07051708.1" "protein_coding" 19772056 19772382 "ensembl"
"ENSRNOG00000059013" "AABR07060519.1" "lincRNA" 77413672 77446624 "ensembl"
"ENSRNOG00000054668" "U6" "snRNA" 87379189 87379295 "ensembl"
"ENSRNOG00000060665" "Afap1" "protein_coding" 79919717 79988110 "ensembl"
"ENSRNOG00000050409" "AABR07049722.1" "miRNA" 134344363 134344463 "ensembl"
"ENSRNOG00000014230" "Map1a" "protein_coding" 113251778 113272186 "ensembl"
"ENSRNOG00000053514" "U6" "snRNA" 121213624 121213730 "ensembl"
"ENSRNOG00000032132" "AABR07037998.1" "protein_coding" 37026408 37026872 "ensembl"
"ENSRNOG00000055607" "U6" "snRNA" 76800657 76800759 "ensembl"
"ENSRNOG00000001592" "Cct8" "protein_coding" 27130172 27141881 "ensembl"
"ENSRNOG00000025938" "Lin28b" "protein_coding" 50486809 50564987 "ensembl"
"ENSRNOG00000001928" "Il1rap" "protein_coding" 77463954 77593207 "ensembl"
"ENSRNOG00000046260" "LOC688320" "protein_coding" 109911922 109913879 "ensembl"
"ENSRNOG00000008680" "Loxl1" "protein_coding" 63067300 63092009 "ensembl"
"ENSRNOG00000031899" "Vom1r36" "protein_coding" 72183354 72184265 "ensembl"
"ENSRNOG00000033372" "Klhl24" "protein_coding" 84615760 84633504 "ensembl"
"ENSRNOG00000050556" "AABR07003935.15" "miRNA" 121197350 121197452 "ensembl"
"ENSRNOG00000057491" "U7" "snRNA" 122569706 122569768 "ensembl"
"ENSRNOG00000059235" "AABR07018837.1" "lincRNA" 75318844 75408608 "ensembl"
"ENSRNOG00000049797" "NEWGENE_1311658" "protein_coding" 101307764 101319845 "ensembl"
"ENSRNOG00000060127" "AABR07013217.1" "snoRNA" 228776195 228776345 "ensembl"
"ENSRNOG00000049482" "AABR07017681.1" "protein_coding" 30018481 30019055 "ensembl"
"ENSRNOG00000007359" "Gca" "protein_coding" 48626038 48661317 "ensembl"
"ENSRNOG00000048837" "LOC102554121" "protein_coding" 105246120 105282292 "ensembl"
"ENSRNOG00000032558" "AABR07030263.1" "protein_coding" 78416946 78417317 "ensembl"
"ENSRNOG00000004588" "Zbed4" "protein_coding" 129749714 129787093 "ensembl"
"ENSRNOG00000050654" "Olr526" "protein_coding" 74411668 74412633 "ensembl"
"ENSRNOG00000048275" "RGD1309350" "protein_coding" 213577122 213580542 "ensembl"
"ENSRNOG00000022890" "RGD1562532" "protein_coding" 122766879 122828398 "ensembl"
"ENSRNOG00000029479" "AC119015.2" "protein_coding" 76280933 76281283 "ensembl"
"ENSRNOG00000029773" "Atm" "protein_coding" 58015940 58120045 "ensembl"
"ENSRNOG00000004649" "Il1b" "protein_coding" 121876263 121882726 "ensembl"
"ENSRNOG00000052232" "Cyb561d1" "protein_coding" 210988869 210991509 "ensembl"
"ENSRNOG00000050521" "Tspo2" "protein_coding" 14513037 14514416 "ensembl"
"ENSRNOG00000037124" "Fam227b" "protein_coding" 118268739 118427851 "ensembl"
"ENSRNOG00000045918" "Jarid2" "protein_coding" 20184245 20364714 "ensembl"
"ENSRNOG00000014834" "Epc1" "protein_coding" 57304933 57394985 "ensembl"
"ENSRNOG00000003357" "Col3a1" "protein_coding" 52023295 52059217 "ensembl"
"ENSRNOG00000020460" "Banf1" "protein_coding" 220744195 220746224 "ensembl"
"ENSRNOG00000046741" "Itsn2" "protein_coding" 30098380 30187337 "ensembl"
"ENSRNOG00000013225" "Crisp2" "protein_coding" 23503236 23527496 "ensembl"
"ENSRNOG00000032310" "AABR07004183.1" "protein_coding" 129227595 129228068 "ensembl"
"ENSRNOG00000033030" "AABR07072440.1" "processed_pseudogene" 18532361 18532942 "ensembl"
"ENSRNOG00000019592" "Iqca" "protein_coding" 97183214 97290639 "ensembl"
"ENSRNOG00000011745" "Psma1" "protein_coding" 183733567 183744586 "ensembl"
"ENSRNOG00000001271" "Card6" "protein_coding" 54810110 54824033 "ensembl"
"ENSRNOG00000020821" "LOC108348122" "protein_coding" 88750462 88765220 "ensembl"
"ENSRNOG00000021274" "Fermt1" "protein_coding" 125566643 125607735 "ensembl"
"ENSRNOG00000014187" "Igf1r" "protein_coding" 128924966 129206516 "ensembl"
"ENSRNOG00000016100" "AABR07058934.1" "protein_coding" 144503534 144503839 "ensembl"
"ENSRNOG00000003210" "Olr1463" "protein_coding" 45939178 45940137 "ensembl"
"ENSRNOG00000004438" "Cntn1" "protein_coding" 133400485 133586677 "ensembl"
"ENSRNOG00000000963" "Tmem132c" "protein_coding" 32808022 33016885 "ensembl"
"ENSRNOG00000042229" "Gimap1" "protein_coding" 78371121 78375223 "ensembl"
"ENSRNOG00000009431" "Tbc1d4" "protein_coding" 85930044 86105273 "ensembl"
"ENSRNOG00000057118" "Olr1316" "protein_coding" 43566788 43567726 "ensembl"
"ENSRNOG00000014743" "Hagh" "protein_coding" 14216155 14230515 "ensembl"
"ENSRNOG00000010821" "Ankrd54" "protein_coding" 120282822 120295618 "ensembl"
"ENSRNOG00000015304" "Tmem160" "protein_coding" 78417719 78420427 "ensembl"
"ENSRNOG00000015359" "Arhgap40" "protein_coding" 154996750 155041816 "ensembl"
"ENSRNOG00000013906" "Gpat2" "protein_coding" 119994537 120003090 "ensembl"
"ENSRNOG00000054681" "LOC108348042" "protein_coding" 89772928 89780691 "ensembl"
"ENSRNOG00000022669" "Cd177" "protein_coding" 82964683 82987253 "ensembl"
"ENSRNOG00000003194" "AABR07040622.1" "pseudogene" 106518323 106519205 "ensembl"
"ENSRNOG00000010492" "Sp2" "protein_coding" 84890932 84920886 "ensembl"
"ENSRNOG00000048917" "LOC100909604" "protein_coding" 82173293 82263302 "ensembl"
"ENSRNOG00000008518" "Gsg1" "protein_coding" 169020683 169036950 "ensembl"
"ENSRNOG00000016710" "AABR07028779.1" "processed_pseudogene" 85947666 85948355 "ensembl"
"ENSRNOG00000001964" "Cd47" "protein_coding" 53514595 53575175 "ensembl"
"ENSRNOG00000015636" "Wdr34" "protein_coding" 8599148 8615532 "ensembl"
"ENSRNOG00000021578" "Wfikkn1" "protein_coding" 15243429 15245757 "ensembl"
"ENSRNOG00000013241" "Cyp2c24" "protein_coding" 258074860 258139176 "ensembl"
"ENSRNOG00000057550" "AABR07061964.1" "processed_pseudogene" 155206119 155206400 "ensembl"
"ENSRNOG00000046040" "LOC100911586" "protein_coding" 44568615 44569535 "ensembl"
"ENSRNOG00000019177" "Psd2" "protein_coding" 28781349 28832428 "ensembl"
"ENSRNOG00000008394" "Prg2" "protein_coding" 72385666 72389276 "ensembl"
"ENSRNOG00000048210" "Tpcr12" "protein_coding" 34402482 34403435 "ensembl"
"ENSRNOG00000045989" "Hba-a3" "protein_coding" 15577249 15577977 "ensembl"
"ENSRNOG00000005730" "Pcmtd1" "protein_coding" 12132657 12199283 "ensembl"
"ENSRNOG00000004192" "Arhgap30" "protein_coding" 89774764 89796113 "ensembl"
"ENSRNOG00000006004" "Phc2" "protein_coding" 146882756 146931444 "ensembl"
"ENSRNOG00000027938" "Jcad" "protein_coding" 55670331 55709740 "ensembl"
"ENSRNOG00000012218" "Poteg" "protein_coding" 68814655 68832862 "ensembl"
"ENSRNOG00000013103" "Ldhc" "protein_coding" 102915191 102931839 "ensembl"
"ENSRNOG00000022619" "Fth1" "protein_coding" 226030938 226033228 "ensembl"
"ENSRNOG00000021048" "AC095693.1" "protein_coding" 101783621 101792496 "ensembl"
"ENSRNOG00000024330" "Ngp" "protein_coding" 118662335 118665699 "ensembl"
"ENSRNOG00000039404" "AABR07017662.1" "protein_coding" 29810344 29810811 "ensembl"
"ENSRNOG00000006033" "LOC100910790" "protein_coding" 82818663 82824599 "ensembl"
"ENSRNOG00000013110" "Nudt2" "protein_coding" 57845819 57860658 "ensembl"
"ENSRNOG00000017963" "Zfp874b" "protein_coding" 37878516 37886675 "ensembl"
"ENSRNOG00000011471" "Fgf9" "protein_coding" 38341089 38387316 "ensembl"
"ENSRNOG00000014288" "Fn1" "protein_coding" 78900103 78969078 "ensembl"
"ENSRNOG00000026898" "Zbtb8b" "protein_coding" 147628899 147635789 "ensembl"
"ENSRNOG00000042424" "Olr880" "protein_coding" 3751196 3752134 "ensembl"
"ENSRNOG00000000104" "Thoc3" "protein_coding" 10676943 10686134 "ensembl"
"ENSRNOG00000006068" "Tmem117" "protein_coding" 136182224 136403012 "ensembl"
"ENSRNOG00000053812" "LOC103689947" "protein_coding" 196105569 196113149 "ensembl"
"ENSRNOG00000015416" "Nabp1" "protein_coding" 55050203 55057658 "ensembl"
"ENSRNOG00000015716" "Gp2" "protein_coding" 189166399 189182306 "ensembl"
"ENSRNOG00000058943" "Olr1082" "protein_coding" 13553010 13553963 "ensembl"
"ENSRNOG00000032552" "Zfp799" "protein_coding" 15069254 15073052 "ensembl"
"ENSRNOG00000015235" "Fra10ac1" "protein_coding" 256881771 256914260 "ensembl"
"ENSRNOG00000031769" "Chchd7" "protein_coding" 16845631 16847776 "ensembl"
"ENSRNOG00000015502" "Mfsd14a" "protein_coding" 219662064 219693629 "ensembl"
"ENSRNOG00000009773" "Elovl4" "protein_coding" 91310630 91338843 "ensembl"
"ENSRNOG00000017876" "Dnajc21" "protein_coding" 60419525 60446510 "ensembl"
"ENSRNOG00000004521" "Prpf39" "protein_coding" 86785771 86810316 "ensembl"
"ENSRNOG00000014154" "Ilf2" "protein_coding" 189857587 189877743 "ensembl"
"ENSRNOG00000045610" "Olfr822" "protein_coding" 9341613 9342551 "ensembl"
"ENSRNOG00000021913" "Nlrp9" "protein_coding" 71859390 71909138 "ensembl"
"ENSRNOG00000002657" "Pla2g4a" "protein_coding" 66988937 67206693 "ensembl"
"ENSRNOG00000021085" "Sf1" "protein_coding" 221735517 221749086 "ensembl"
"ENSRNOG00000013889" "Tmed3" "protein_coding" 97075160 97083120 "ensembl"
"ENSRNOG00000054322" "AABR07025051.3" "pseudogene" 26583539 26583769 "ensembl"
"ENSRNOG00000060995" "AABR07043711.2" "protein_coding" 36238230 36239712 "ensembl"
"ENSRNOG00000015909" "Olr108" "protein_coding" 168639059 168640000 "ensembl"
"ENSRNOG00000026157" "Pnpla4" "protein_coding" 45519228 45522665 "ensembl"
"ENSRNOG00000013372" "Shisal2b" "protein_coding" 34946797 34963207 "ensembl"
"ENSRNOG00000017113" "Ccnt2" "protein_coding" 44475970 44515739 "ensembl"
"ENSRNOG00000024630" "Igsf23" "protein_coding" 80852528 80864846 "ensembl"
"ENSRNOG00000046188" "Olr115" "protein_coding" 168724703 168725656 "ensembl"
"ENSRNOG00000016638" "Gnb1" "protein_coding" 172934990 172979986 "ensembl"
"ENSRNOG00000011909" "Rasa2" "protein_coding" 104414567 104542317 "ensembl"
"ENSRNOG00000058402" "AABR07010570.1" "pseudogene" 140805601 140806252 "ensembl"
"ENSRNOG00000010930" "Usp39" "protein_coding" 100181455 100213858 "ensembl"
"ENSRNOG00000032817" "Vom1r46" "protein_coding" 67064847 67065797 "ensembl"
